Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-09-30 12:58:32,false,"Linkoping Running","9.28","448","00:55:03","149","179","2.4","170","218","5:56","4:54","60","60","0.99","0.0","0.0","0.0","0.0","0.0","55:03","0:00","0.0","0:00","No","55:03.12","1","0.0"
Running,2020-09-29 20:05:26,false,"Linkoping Running","8.99","537","00:55:00","161","185","3.6","170","181","6:07","4:50","29","57","0.96","0.0","0.0","0.0","0.0","0.0","55:00","0:00","0.0","0:00","No","55:00.19","1","0.0"
Running,2020-09-27 11:18:00,false,"Norrköping Running","10.15","523","01:00:00","153","178","3.1","171","180","5:55","5:07","24","33","0.99","0.0","0.0","0.0","0.0","0.0","1:00:00","0:00","0.0","0:00","No","01:00:00.24","1","0.0"
Running,2020-09-26 10:59:56,false,"Norrköping Running","8.90","488","00:55:00","157","189","3.3","171","203","6:11","3:48","30","45","0.94","0.0","0.0","0.0","0.0","0.0","55:00","0:00","0.0","0:00","No","02:30.93","7","0.0"
Running,2020-09-25 18:05:50,false,"Norrköping Running","11.83","707","01:15:21","162","179","3.3","166","247","6:22","4:28","101","109","0.94","0.0","0.0","0.0","0.0","0.0","1:15:21","0:00","0.0","0:00","No","01:15:20.67","1","0.0"
Running,2020-09-21 17:28:38,false,"Eksjö Running","11.12","672","01:20:14","157","178","2.8","157","244","7:13","5:05","53","80","0.87","0.0","0.0","0.0","0.0","0.0","1:20:14","0:00","0.0","0:00","No","28:59.09","2","0.0"
Running,2020-09-20 16:26:48,false,"Eksjö Running","10.52","607","00:58:47","167","186","4.2","171","182","5:35","4:30","55","57","1.05","0.0","0.0","0.0","0.0","0.0","58:47","0:00","0.0","0:00","No","21:01.00","2","0.0"
Running,2020-09-19 17:00:59,false,"Nässjö Running","1.58","90","00:09:47.8","149","163","2.0","170","177","6:11","5:30","4","1","0.95","0.0","0.0","0.0","0.0","0.0","9:47.8","0:00","0.0","0:00","No","09:47.75","1","0.0"
Running,2020-09-19 16:24:57,false,"Nässjö Running","4.54","370","00:33:06","176","189","3.8","156","240","7:17","4:53","30","27","0.88","0.0","0.0","0.0","0.0","0.0","33:06","0:00","0.0","0:00","No","00:30.50","2","0.0"
Running,2020-09-19 15:54:26,false,"Nässjö Running","3.16","179","00:20:02","146","173","2.3","165","180","6:20","4:36","7","9","0.96","0.0","0.0","0.0","0.0","0.0","20:02","0:00","0.0","0:00","No","20:02.42","1","0.0"
Cycling,2020-09-17 12:31:51,false,"Norrköping Cycling","20.57","378","00:57:39","133","180","1.9","--","--","21.4","34.4","71","76","0.00","0.0","0.0","0.0","0.0","0.0","57:39","0:00","0.0","0:00","No","01:34.96","5","0.0"
Running,2020-09-15 17:22:29,false,"Linkoping Running","9.81","433","01:00:22","139","175","2.0","170","188","6:09","5:04","83","76","0.96","0.0","0.0","0.0","0.0","0.0","1:00:22","0:00","0.0","0:00","No","01:00:22.45","1","0.0"
Cycling,2020-09-14 15:20:47,false,"Linkoping Cycling","21.67","1,004","03:58:11","117","158","2.1","--","--","5.5","34.4","66","59","0.00","0.0","0.0","0.0","0.0","0.0","3:58:11","0:00","0.0","0:00","No","06:51.21","5","0.0"
Running,2020-09-13 11:14:20,false,"Linkoping Running","12.15","682","01:16:10","155","175","3.0","168","244","6:16","4:59","99","96","0.95","0.0","0.0","0.0","0.0","0.0","1:16:10","0:00","0.0","0:00","No","01:16:09.61","1","0.0"
Running,2020-09-11 18:46:30,false,"Linkoping Running","5.45","274","00:30:08","152","174","2.8","170","182","5:32","4:30","4","2","1.06","0.0","0.0","0.0","0.0","0.0","30:08","0:00","0.0","0:00","No","14:02.89","2","0.0"
Cycling,2020-09-09 18:27:37,false,"Norrköping Cycling","20.70","331","01:01:25","127","148","1.4","--","--","20.2","36.1","87","88","0.00","0.0","0.0","0.0","0.0","0.0","1:01:25","0:00","0.0","0:00","No","02:27.30","5","0.0"
Running,2020-09-08 17:43:33,false,"Norrköping Running","5.90","356","01:06:52","94","140","1.3","120","136","11:20","6:40","45","75","0.73","0.0","0.0","0.0","0.0","0.0","1:06:52","0:00","0.0","0:00","No","01:06:51.65","1","0.0"
Running,2020-09-07 17:47:32,false,"Norrköping Running","6.76","369","00:40:46","159","189","3.0","166","203","6:02","1:14","37","35","0.98","0.0","0.0","0.0","0.0","0.0","40:46","0:00","0.0","0:00","No","00:39.53","16","0.0"
Running,2020-09-04 20:17:50,false,"Norrköping Running","10.63","884","01:35:53","163","196","3.5","149","244","9:01","4:03","111","106","0.74","0.0","0.0","0.0","0.0","0.0","1:35:53","0:00","0.0","0:00","No","01:40.51","3","0.0"
Running,2020-09-02 18:03:58,false,"Norrköping Running","5.75","512","01:01:49","154","178","2.5","144","247","10:46","5:47","95","95","0.65","0.0","0.0","0.0","0.0","0.0","1:01:49","0:00","0.0","0:00","No","01:01:49.47","1","0.0"
Running,2020-09-01 07:21:57,false,"Norrköping Running","8.22","523","00:50:01","168","196","3.8","170","191","6:05","3:58","14","23","0.96","0.0","0.0","0.0","0.0","0.0","50:01","0:00","0.0","0:00","No","00:58.73","18","0.0"
Running,2020-08-30 12:08:07,false,"Norrköping Running","3.65","222","00:21:09","162","177","2.9","172","181","5:47","4:39","17","37","1.00","0.0","0.0","0.0","0.0","0.0","21:09","0:00","0.0","0:00","No","21:09.08","1","0.0"
Running,2020-08-30 11:45:30,false,"Norrköping Running","0.19","109","00:20:01","119","147","1.2","119","131","--","14:04","1","--","0.08","0.0","0.0","0.0","0.0","0.0","20:01","0:00","0.0","0:00","No","20:00.97","1","0.0"
Running,2020-08-30 11:24:34,false,"Norrköping Running","3.41","179","00:20:03","148","174","2.2","171","178","5:53","4:59","27","11","1.00","0.0","0.0","0.0","0.0","0.0","20:03","0:00","0.0","0:00","No","20:02.65","1","0.0"
Running,2020-08-29 08:46:32,false,"Stockholm Running","5.21","280","00:30:02","155","177","2.8","173","242","5:46","4:33","20","35","1.00","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","30:01.79","1","0.0"
Cycling,2020-08-27 19:28:52,false,"Nacka Cycling","9.36","125","00:31:08","108","153","1.1","--","--","18.0","31.3","56","75","0.00","0.0","0.0","0.0","0.0","0.0","31:08","0:00","0.0","0:00","No","14:47.44","2","0.0"
Running,2020-08-27 18:14:17,false,"Nacka Running","7.26","423","00:49:52","155","174","3.0","164","244","6:52","3:25","103","105","0.89","0.0","0.0","0.0","0.0","0.0","49:52","0:00","0.0","0:00","No","00:15.18","10","0.0"
Cycling,2020-08-27 03:00:00,false,"Stockholm Cycling","9.10","225","00:29:49","140","171","2.0","--","--","18.3","41.3","89","60","0.00","0.0","0.0","0.0","0.0","0.0","29:49","0:00","0.0","0:00","No","00:05.21","3","0.0"
Treadmill Running,2020-08-26 17:43:26,false,"Treadmill Running","0.97","105","00:15:14","131","170","1.7","159","182","15:45","5:25","--","--","0.39","0.0","0.0","0.0","0.0","0.0","15:14","0:00","0.0","0:00","No","05:09.74","2","0.0"
Running,2020-08-26 17:26:35,false,"Stockholm Running","2.71","122","00:15:21","141","156","2.0","168","224","5:40","5:05","7","21","1.05","0.0","0.0","0.0","0.0","0.0","15:21","0:00","0.0","0:00","No","15:20.98","1","0.0"
Cycling,2020-08-25 18:34:57,false,"Stockholm Cycling","26.67","433","01:21:36","130","165","1.6","--","--","19.6","35.3","227","224","0.00","0.0","0.0","0.0","0.0","0.0","1:21:36","0:00","0.0","0:00","No","05:15.11","6","0.0"
Cycling,2020-08-23 10:48:07,false,"Stockholm Cycling","37.26","720","02:02:43","138","168","2.2","--","--","18.2","33.5","316","314","0.00","0.0","0.0","0.0","0.0","0.0","2:02:43","0:00","0.0","0:00","No","06:09.23","8","0.0"
